budget,language,popularity,date,revenue,title,rating,vote_count,Drama,Action,Adventure,Comedy,Horror,Science Fiction,History,Others
2000000,en,9.241748,10/15/1940,11000000,The Great Dictator,8.1,756,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2280000,en,8.03796,11/13/1940,83320000,Fantasia,7.2,831,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
839727,en,15.811921,4/30/1941,23217674,Citizen Kane,8,1244,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1400000,en,3.336494,7/2/1941,16361885,Sergeant York,7.1,47,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
812000,en,14.655879,10/22/1941,1600000,Dumbo,6.8,1206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1250000,en,9.058578,10/28/1941,6000000,How Green Was My Valley,6.9,76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1103000,en,5.660476,11/14/1941,4500000,Suspicion,7.1,140,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
375000,en,5.782544,11/18/1941,1000000,The Maltese Falcon,7.8,435,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1344000,en,3.306745,6/4/1942,13500000,Mrs. Miniver,6.7,47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
858000,en,13.698132,8/14/1942,267447150,Bambi,6.8,1450,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
802000,en,6.165341,10/21/1942,4371000,For Me and My Gal,6.2,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
878000,en,13.916101,11/26/1942,10462500,Casablanca,7.9,1462,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134000,en,5.110716,12/5/1942,4000000,Cat People,6.9,96,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
855000,en,1.121417,5/3/1943,1200000,Five Graves to Cairo,6.9,22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
927262,en,6.49432,4/24/1944,2500000,Double Indemnity,8,425,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1020000,en,9.884516,10/11/1944,2000000,Laura,7.6,173,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1453000,en,4.497049,9/24/1945,5638000,Mildred Pierce,7.4,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1250000,en,8.731331,11/25/1945,11000000,The Lost Weekend,7.4,115,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1500000,en,5.47596,12/28/1945,7000000,Spellbound,7.3,166,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1202007,en,6.360746,12/28/1945,2948386,Scarlet Street,7.7,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000000,en,10.135111,8/15/1946,24464742,Notorious,7.8,345,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3180000,en,15.031588,12/20/1946,9644124,It's a Wonderful Life,8,1103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2100000,en,6.069343,12/25/1946,23650000,The Best Years of Our Lives,7.6,148,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6000000,en,8.441279,12/31/1946,20400000,Duel in the Sun,6.2,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000000,en,6.857318,11/11/1947,7800000,Gentleman's Agreement,6.8,48,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3800000,en,8.070589,1/24/1948,4307000,The Treasure of the Sierra Madre,7.9,285,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2500000,en,5.499979,3/26/1948,3000000,Fort Apache,6.8,68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3700000,en,1.830178,6/11/1948,2956000,The Pirate,6.6,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1500000,en,7.248676,8/23/1948,2200000,Rope,7.8,539,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3000000,en,6.09018,8/26/1948,9012000,Red River,7.3,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
133000,it,13.233136,11/24/1948,361712,Bicycle Thieves,8,404,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1243000,en,3.803268,12/1/1948,2841000,3 Godfathers,6.1,39,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1600000,en,7.715087,10/22/1949,5400000,She Wore a Yellow Ribbon,7.1,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1000000,en,2.828371,12/14/1949,7800000,Sands of Iwo Jima,6.2,33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3000000,en,2.528638,12/21/1949,11500000,Samson and Delilah,6.1,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2900000,en,14.436858,3/4/1950,263591415,Cinderella,6.8,1760,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3768785,en,2.090588,5/17/1950,8000000,Annie Get Your Gun,7.3,22,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1752000,en,11.709777,8/10/1950,5000000,Sunset Boulevard,8.2,533,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1400000,en,12.06308,11/9/1950,63463,All About Eve,8,367,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250000,ja,9.887355,12/26/1950,96568,Rashomon,8,471,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1200000,en,15.41773,6/18/1951,7000000,Strangers on a Train,7.6,379,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1821052,en,11.046411,6/29/1951,1300000,Ace in the Hole,7.9,128,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3000000,en,16.488937,7/3/1951,572000000,Alice in Wonderland,7,1557,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2300000,en,2.01799,7/13/1951,11000000,Show Boat,6.9,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2723903,en,5.565203,8/8/1951,4500000,An American in Paris,6.9,133,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1800000,en,7.301719,9/18/1951,8000000,A Streetcar Named Desire,7.6,291,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8250000,en,11.840985,11/8/1951,30000000,Quo Vadis,7,64,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1300000,en,6.636872,12/3/1951,10750000,The African Queen,7.4,232,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4000000,en,4.011363,1/10/1952,36000000,The Greatest Show on Earth,6.6,51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
730000,en,16.715935,3/27/1952,8000000,High Noon,7.6,343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2540800,en,11.064858,4/10/1952,7200000,Singin' in the Rain,7.9,747,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3005000,en,3.803547,5/8/1952,6746000,Scaramouche,6.9,13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1250000,en,14.605464,1/26/1953,8500000,Niagara,6.7,84,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4000000,en,16.861533,2/5/1953,87404651,Peter Pan,7,1380,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
658000,en,9.072006,4/10/1953,23800000,House of Wax,7,75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1805000,en,12.90707,4/11/1953,4905000,Titanic,6.2,27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3100000,en,6.63816,4/23/1953,20000000,Shane,7.3,143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210000,en,3.424057,6/13/1953,5000000,"The Beast from 20,000 Fathoms",6.7,41,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
16000,en,0.892476,6/25/1953,1000000,Robot Monster,3.5,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2000000,en,5.609399,8/13/1953,2000000,The War of the Worlds,6.8,172,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1650000,en,5.358582,8/28/1953,30500000,From Here to Eternity,7.2,137,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1500000,en,11.954806,9/2/1953,12000000,Roman Holiday,7.8,502,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4100000,en,3.826281,9/16/1953,36000000,The Robe,6.4,43,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000000,ja,15.01777,4/26/1954,271841,Seven Samurai,8.2,892,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1400000,en,7.853231,5/29/1954,3000000,Dial M for Murder,7.9,539,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
910000,en,18.211093,6/22/1954,9600000,On the Waterfront,8,368,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000000,en,8.999948,6/24/1954,21750000,The Caine Mutiny,7.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1000000,en,17.911314,8/1/1954,36764313,Rear Window,8.2,1531,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5000000,en,10.374608,8/25/1954,15000000,The Egyptian,6,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2238813,en,7.359741,9/28/1954,10000000,Sabrina,7.4,284,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5000000,en,8.722406,12/23/1954,28200000,"20,000 Leagues Under the Sea",6.9,160,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1271000,en,7.441117,1/7/1955,3788000,Bad Day at Black Rock,7,88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
343000,en,11.589081,4/11/1955,3000000,Marty,7.2,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2500000,en,5.490505,8/3/1955,8750000,To Catch a Thief,7.1,299,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1200000,en,6.486117,10/3/1955,7000000,The Trouble with Harry,6.9,152,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1900000,en,6.379966,3/15/1956,3250000,Forbidden Planet,7.2,238,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4000000,en,1.801071,5/30/1956,14400000,Trapeze,6.4,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2500000,en,12.547763,6/1/1956,10250000,The Man Who Knew Too Much,7.3,276,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4500000,en,4.31583,6/27/1956,10400000,Moby Dick,6.9,90,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4550000,en,7.630723,6/29/1956,21300000,The King and I,7.3,103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920000,en,2.747776,7/3/1956,3360000,Somebody Up There Likes Me,6.8,30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6000000,en,3.666277,8/21/1956,12500000,War and Peace,6.8,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13000000,en,11.14704,10/5/1956,122700000,The Ten Commandments,7.5,358,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5400000,en,10.864284,10/10/1956,35000000,Giant,7.5,169,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6000000,en,6.164226,10/17/1956,42000000,Around the World in Eighty Days,6.5,85,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1000000,en,1.157582,11/15/1956,9000000,Love Me Tender,5.5,21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1200000,en,8.56081,12/22/1956,2000000,The Wrong Man,6.9,105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
350000,en,16.503959,3/25/1957,1000000,12 Angry Men,8.2,2130,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82000,en,0.75684,6/19/1957,2000000,I Was a Teenage Werewolf,5.2,12,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3000000,en,8.851646,10/2/1957,27200000,The Bridge on the River Kwai,7.7,554,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3000000,en,9.730217,12/17/1957,9000000,Witness for the Prosecution,8.1,278,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1750000,en,4.250819,12/17/1957,2200000,Legend of the Lost,6.1,12,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
